sentence,difficulty,wordnb,cognate,cognatenb,cognateratio
"C'est déjà le lundi, et toute la semaine recommence.",A2,10,"[""c'"", 'est ', 'déjà', 'le ', 'et ', 'la ', 'recommence']",7,0.7
"Au début, ça a été très compliqué à mettre en place en fin de compte",A2,15,"['au ', 'en ', 'place ', 'en ', 'fin ', 'de ', 'compte']",7,0.4666666666666667
"Quand il arriva près de la maison il vit un monsieur à la porte, et il entendit qu'il disait à la femme : ""Ma bonne femme, votre mari est-il chez lui ?"" ""Non monsieur,"" répondit la femme.",A2,37,"['il ', 'de ', 'la ', 'il ', 'vit ', 'un', 'la ', 'porte', 'et ', 'il ', 'entendit', ""qu'"", 'il ', 'la ', 'ma ', 'votre', 'mari', 'est-', 'il ', 'chez', 'lui', 'non ', 'la ']",23,0.6216216216216216
À très bientôt.,A2,3,[],0,0.0
Tu as pris une douche et tu es allée au lit.,A2,11,"['tu ', 'as ', 'pris', 'une ', 'douche', 'et ', 'tu ', 'es ', 'au ', 'lit']",10,0.9090909090909091
Il est considéré comme un membre de la famille à part entière.,A2,12,"['il ', 'est ', 'comme', 'un', 'membre', 'de ', 'la ', 'part']",8,0.6666666666666666
Pile au moment où on a le plus besoin de réconfort,A2,11,"['pile', 'au ', 'on ', 'a le', 'le ', 'plus', 'besoin', 'de ']",8,0.7272727272727273
Il est interdit de fumer,A2,5,"['il ', 'est ', 'de ', 'fumer']",4,0.8
Les choses sont en train de mal tourner.,A2,8,"['les ', 'sont', 'en ', 'de ', 'mal ']",5,0.625
Cette maison est la nôtre.,A2,5,"['est ', 'la ']",2,0.4
C'est en Italie que les deux mots sont le plus souvent associés.,A2,13,"[""c'"", 'est ', 'en ', 'que', 'les ', 'deux', 'mots', 'sont', 'le ', 'plus']",10,0.7692307692307693
Vous êtes prêt à entrer dans cette histoire ?,A2,8,"['vous', 'dans']",2,0.25
Pourquoi tu prends ce risque ?,A2,5,"['tu ', 'prends', 'ce ']",3,0.6
La cuisine est la pièce préférée de ma maison.,A2,9,"['la ', 'est ', 'la ', 'de ', 'ma ']",5,0.5555555555555556
Ils disaient que c'était grâce à eux que la forêt était si belle.,A2,14,"['ils ', 'disaient', 'que', ""c'"", 'eux', 'que', 'la ', 'si ', 'belle']",9,0.6428571428571429
Je lui explique tout dès qu'elle arrive.,A2,8,"['je ', 'lui ', 'tout', 'dès ', ""qu'"", 'elle']",6,0.75
La tribu a maintenant à manger.,A2,6,"['la ', 'tribu']",2,0.3333333333333333
"A 55 ans, on est mort.",A2,6,"['ans', 'on ', 'est ', 'mort']",4,0.6666666666666666
Je saute et vous n'aurez jamais les plans !,A2,9,"['je ', 'saute', 'et ', 'vous', ""n'"", 'les ', 'plans']",7,0.7777777777777778
"Je cours dans ma chambre, et je me dépêche de m'habiller et de me maquiller, puis je vais prendre le métro",A2,22,"['je ', 'dans', 'ma ', 'et ', 'je ', 'me ', 'de ', ""m'"", 'habiller', 'et ', 'de ', 'me ', 'puis', 'je ', 'vais', 'le ']",16,0.7272727272727273
Vous avez fait de l'exercice physique,A2,7,"['vous', 'avez', 'fait', 'de ']",4,0.5714285714285714
Le couple a bien fait d'évacuer,A2,7,"['le ', 'bien', 'fait']",3,0.42857142857142855
Je crains que la table ne soit pas encore disponible.,A2,10,"['je ', 'crains', 'que', 'la ', 'ne ', 'soit', 'pas', 'encore']",8,0.8
Vous avez dit la seule chose intelligente !,A2,7,"['vous', 'avez', 'dit ', 'la ', 'intelligente']",5,0.7142857142857143
"Mais ma plus grande passion, c'est l'art.",A2,9,"['mais', 'ma ', 'plus', ""c'"", 'est ', 'art']",6,0.6666666666666666
Je me suis arrêté et je me suis bu une petite bière en terrasse.,A2,14,"['je ', 'me ', 'suis', 'et ', 'je ', 'me ', 'suis', 'bu', 'une ', 'petite', 'en ', 'terrasse']",12,0.8571428571428571
Il faut aussi poser des questions sur le travail et les horaires de l'entreprise,A2,15,"['il ', 'faut', 'aussi ', 'des ', 'questions', 'sur ', 'le ', 'et ', 'les ', 'de ']",10,0.6666666666666666
On doit aider les petits pour y arriver.,A2,8,"['on ', 'doit', 'aider ', 'les ', 'petits', 'pour']",6,0.75
"Si vous me dites où vous avez passé l'hiver, je vous donnerai une grande somme d'argent.""",A2,18,"['si ', 'vous', 'me ', 'vous', 'avez', 'passé', 'je ', 'vous', 'donnerai', 'une ', 'somme ']",11,0.6111111111111112
"Je vais lui offrir un livre que j'aime beaucoup : ""Kurt et le poisson"", tu connais?",A2,16,"['je ', 'vais', 'lui ', 'un', 'que', ""j'"", 'kurt', 'et ', 'le ', 'tu ']",10,0.625
Un petit garçon : On essaye de leur parler,A2,8,"['un', 'petit ', 'on ', 'de ', 'leur']",5,0.625
Elle ne leur a pas révélé son secret.,A2,8,"['elle', 'ne ', 'leur', 'a pas ', 'pas', 'son ', 'secret']",7,0.875
Il préfère quand les sommes ne sont pas arrondies.,A2,9,"['il ', 'les ', 'sommes', 'ne ', 'sont', 'pas']",6,0.6666666666666666
"Ce soir, nous ne faisons pas la fête parce que nous devons nous lever tôt.",A2,15,"['ce ', 'soir', 'nous', 'ne ', 'pas', 'la ', 'fête', 'que', 'nous', 'devons', 'nous', 'tôt']",12,0.8
"Un petit garçon : Ben trois dans un nid et dans l'autre, y'en a deux",A2,16,"['un', 'petit ', 'ben ', 'dans', 'un', 'nid ', 'et ', 'dans', ""y'"", 'en ', 'deux']",11,0.6875
"Comme sa valise est trop petite, il demande à Hélène si elle veut toujours bien lui en prêter une : il peut venir la chercher chez elle puisqu'ils n'habitent pas loin l'un de l'autre.",A2,37,"['comme', 'sa ', 'valise', 'est ', 'trop', 'petite', 'il ', 'si ', 'elle', 'veut', 'bien', 'lui ', 'en ', 'une', 'il ', 'peut', 'la ', 'chez', 'elle', ""puisqu'ils"", 'ils ', ""n'"", 'habitent', 'pas', 'loin', ""l'un"", 'un', 'de ']",28,0.7567567567567568
"Aujourd'hui, j'ai mangé une mousse au chocolat parce que je ne suis pas à la diète.",A2,18,"['aujourd', 'hui', ""j'ai"", 'ai ', 'une ', 'mousse', 'au ', 'chocolat', 'que', 'je ', 'ne ', 'suis', 'pas', 'la ']",14,0.7777777777777778
Il paraît qu'on mange bien : l'une des spécialités de l'île est le fromage de chèvre.,A2,18,"['il ', ""qu'"", 'on ', 'bien', 'une ', 'des ', 'de ', 'est ', 'le ', 'fromage', 'de ']",11,0.6111111111111112
C'était très intéressant,A2,4,"[""c'""]",1,0.25
Quel est votre avis ?,A2,4,"['quel', 'est ', 'votre', 'avis']",4,1.0
"Alors, tout d'abord quel âge avez-vous ?",A2,8,"['tout', 'quel', 'avez', 'vous']",4,0.5
"Et soudain elle est devant moi, mes lunettes à la main.",A2,11,"['et ', 'elle', 'est ', 'moi', 'mes ', 'lunettes', 'la ', 'main']",8,0.7272727272727273
Il faut bien faire attention à ses vêtements et à sa coiffure,A2,12,"['il ', 'faut', 'bien', 'ses ', 'et ', 'sa ', 'coiffure']",7,0.5833333333333334
"J'ai trop mangé, j'ai mal au ventre.",A2,9,"[""j'ai"", 'ai ', 'trop', ""j'ai"", 'ai ', 'mal ', 'au ']",7,0.7777777777777778
J'ai trouvé un stage qui me plaît beaucoup.,A2,9,"[""j'ai"", 'ai ', 'un', 'stage ', 'qui', 'me ']",6,0.6666666666666666
"C'est super, je fais plein de choses avec mes cousins: aujourd'hui, on est allés à la piscine et demain, on va faire du camping en forêt.",A2,28,"[""c'"", 'est ', 'super', 'je ', 'fais', 'plein ', 'de ', 'avec', 'mes ', 'cousins', 'aujourd', 'hui', 'on ', 'est ', 'allés ', 'la ', 'piscine', 'et ', 'on ', 'va ', 'du ', 'camping', 'en ']",23,0.8214285714285714
J'aime bien ce film de 1964 parce que j'aime bien les comédies,A2,14,"[""j'"", 'bien', 'ce ', 'film', 'de ', 'que', ""j'"", 'bien', 'les ']",9,0.6428571428571429
"Ce sont des jours fériés, c'est-à-dire des jours pendant lesquels on ne travaille pas.",A2,17,"['ce ', 'sont', 'des ', 'jours', ""c'"", 'est-', 'dire', 'des ', 'jours', 'on ', 'ne ', 'pas']",12,0.7058823529411765
Rien ne vaut un bon livre !,A2,6,"['rien', 'ne ', 'vaut', 'un', 'bon ']",5,0.8333333333333334
On fait aujourd'hui en terminale ce qu'on faisait hier à l'université.,A2,14,"['on ', 'fait', 'aujourd', 'hui', 'en ', 'terminale', 'ce ', ""qu'"", 'on ', 'faisait ', 'hier']",11,0.7857142857142857
"Il est vrai que Pierre a moins de livres que ses amis, mais les siens sont meilleurs.",A2,17,"['il ', 'est ', 'vrai', 'que', 'de ', 'que', 'ses ', 'amis', 'mais', 'les ', 'siens ', 'sont']",12,0.7058823529411765
J'ai ouvert la porte et le chien a couru comme une flèche à l'extérieur.,A2,16,"[""j'ai"", 'ai ', 'la ', 'porte', 'et ', 'le ', 'couru', 'comme', 'une ']",9,0.5625
"""Il est parti pour la montagne l'automne dernier, et comme il n'est pas revenu, je crains que les loups ne l'aient mangé."" Et elle commença à pleurer.",A2,30,"['il ', 'est ', 'parti', 'pour', 'la ', 'et ', 'comme', 'il ', ""n'"", 'est ', 'pas', 'je ', 'crains', 'que', 'les ', 'loups', 'ne ', 'et ', 'elle', 'pleurer']",20,0.6666666666666666
Alors le Salon du Chocolat est l'événement à ne pas manquer,A2,12,"['alors ', 'le ', 'du ', 'chocolat', 'est ', 'ne ', 'pas']",7,0.5833333333333334
Une petite fille : Là ils [ne] comprennent pas notre langue parce qu'ils [ne] parlent pas,A2,16,"['une ', 'petite', 'ils', 'pas', ""qu'"", 'ils', 'pas']",7,0.4375
"Julie : pas avec la table, mais avec ceux de la table d'à côté ; ils parlent très fort.",A2,18,"['julie', 'pas', 'avec', 'la ', 'mais', 'avec', 'ceux', 'de ', 'la ', 'côté', 'ils ', 'fort']",12,0.6666666666666666
Je ne comprends rien à ce site d'achat en ligne !,A2,11,"['je ', 'ne ', 'comprends', 'rien', 'ce ', 'site', 'en ']",7,0.6363636363636364
"Le soir venu, il faut rentrer en prenant le même chemin que le matin",A2,14,"['le ', 'soir', 'venu', 'il ', 'faut', 'en ', 'le ', 'même', 'chemin', 'que', 'le ']",11,0.7857142857142857
"Même si je ne suis pas fanatique de fast-food, je ne vois pas pourquoi je ne mangerais pas de pizza et de hamburgers.",A2,24,"['même', 'si ', 'je ', 'ne ', 'suis', 'pas', 'fanatique', 'de ', 'fast', 'food', 'je ', 'ne ', 'vois', 'pas', 'je ', 'ne ', 'pas', 'de ', 'pizza', 'et ', 'de ', 'hamburgers']",22,0.9166666666666666
C'est lui redonner confiance en lui.,A2,7,"[""c'"", 'est ', 'lui ', 'en ', 'lui']",5,0.7142857142857143
J'ai ouvert cette école il y a une dizaine d'années pour aider les animaux.,A2,16,"[""j'ai"", 'ai ', 'il ', 'y a ', 'une ', 'pour', 'aider ', 'les ']",8,0.5
"En fait, ma mère préfère faire le ménage toute seule parce que moi, je casse tout.",A2,16,"['en ', 'fait', 'ma ', 'mère', 'le ', 'que', 'moi', 'je ', 'casse', 'tout']",10,0.625
Mais le marché est loin de leur maison et ils ne peuvent pas y aller à pied,A2,17,"['mais', 'le ', 'marche', 'est ', 'loin', 'de ', 'leur', 'et ', 'ils ', 'ne ', 'pas', 'aller ', 'pied']",13,0.7647058823529411
"Ne t'inquiète pas, tu vas vite t'habituer à ta nouvelle vie.",A2,13,"['ne ', ""t'"", 'pas', 'tu ', 'vas', 'vite', ""t'"", 'ta ', 'vie']",9,0.6923076923076923
"Non, ne lisez pas ce texte pour l'instant !",A2,9,"['non', 'ne ', 'lisez', 'pas', 'ce ', 'texte', 'pour']",7,0.7777777777777778
"Je vais leur demander de se calmer, pour que vous puissiez profiter de votre repas dans le calme.",A2,18,"['je ', 'vais', 'leur', 'de ', 'se ', 'calmer', 'pour', 'que', 'vous', 'puissiez', 'de ', 'votre', 'repas ', 'dans', 'le ']",15,0.8333333333333334
"À gauche, c'est ma salle de bain, avec vue sur mon jardin.",A2,13,"[""c'"", 'est ', 'ma ', 'salle ', 'de ', 'bain', 'avec', 'vue ', 'sur ', 'mon']",10,0.7692307692307693
"Tous les prix sont affichés, mais si besoin, j'ai mis la liste des prix à côté de la caisse.",A2,20,"['tous', 'les ', 'prix', 'sont', 'mais', 'si ', 'besoin', ""j'ai"", 'ai ', 'mis ', 'la ', 'liste ', 'des ', 'prix', 'côté', 'de ', 'la ', 'caisse']",18,0.9
"Le serveur : Bonsoir Mesdames, qu'est-ce que vous voulez boire ?",A2,11,"['le ', 'bonsoir', 'mesdames', ""qu'"", 'est-', 'ce ', 'que', 'vous']",8,0.7272727272727273
Des réponses aux questions que l'on se pose sur soi et sur les autres.,A2,15,"['des ', 'aux', 'questions', 'que', ""l'on"", 'on ', 'se ', 'pose', 'sur ', 'soi ', 'et ', 'sur ', 'les ']",13,0.8666666666666667
L'Esprit de l'hiver décide de punir les arbres qui n'ont pas apporter de l'aide à l'oiseau.,A2,21,"['de ', 'de ', 'punir', 'les ', 'qui', ""n'"", 'ont ', 'pas', 'de ', 'aide', 'oiseau']",11,0.5238095238095238
"Cette année, ce n'est pas moins de 12 millions d'élèves qui ont repris le chemin de l'école.",A2,20,"['ce ', ""n'"", 'est ', 'pas', 'de ', 'qui', 'ont ', 'le ', 'chemin', 'de ']",10,0.5
"Parmi les habitants de la région, il y a ceux qui veulent revenir et ceux qui ne veulent pas",A2,19,"['parmi ', 'les ', 'de ', 'la ', 'il ', 'y a ', 'ceux', 'qui', 'et ', 'ceux', 'qui', 'ne ', 'pas']",13,0.6842105263157895
"Tu as voulu me voir, tu es arrivée tôt.",A2,9,"['tu ', 'as ', 'me ', 'voir', 'tu ', 'es ', 'tôt']",7,0.7777777777777778
"Dites-lui qu'un pauvre berger lui souhaite le bonjour, et qu'il le prie de le secourir .""",A2,18,"['lui ', ""qu'"", 'un', 'berger', 'lui ', 'le ', 'bonjour', 'et ', ""qu'"", 'il ', 'le ', 'prie', 'de ', 'le ', 'secourir']",15,0.8333333333333334
"Un jour, en sport, je prends le ballon sur le nez.",A2,11,"['un', 'jour', 'en ', 'je ', 'prends', 'le ', 'ballon', 'sur ', 'le ', 'nez']",10,0.9090909090909091
La journée n'est pas finie pour Théo qui doit rentrer à la maison pour faire ses devoirs.,A2,18,"['la ', ""n'"", 'est ', 'pas', 'finie', 'pour', 'qui', 'doit', 'la ', 'pour', 'ses ']",11,0.6111111111111112
Ils sont tellement jolis qu'on a décidé d'en apprendre un par coeur.,A2,14,"['ils ', 'sont', 'jolis', ""qu'"", 'on ', ""d'en"", 'en ', 'un', 'par', 'coeur']",10,0.7142857142857143
Nous sommes normalement à un moment de l'année où ce genre de phénomènes est en train de diminuer,A2,19,"['nous', 'sommes', 'un', 'de ', 'ce ', 'de ', 'est ', 'en ', 'de ']",9,0.47368421052631576
Ne pas avaler.,A2,3,"['ne ', 'pas', 'avaler']",3,1.0
"Là, la trap, ça vient tout droit des States et c'est tout nouveau en fait dans le rap",A2,19,"['la ', 'trap', 'tout', 'droit ', 'des ', 'states', 'et ', ""c'"", 'est ', 'tout', 'en ', 'fait', 'dans', 'le ', 'rap']",15,0.7894736842105263
L'histoire que je vais vous lire s'appelle La Légende du Sapin .,A2,13,"['que', 'je ', 'vais', 'vous', 'lire', ""s'"", 'la ', 'du ', 'sapin']",9,0.6923076923076923
"Le cours de maths, lui, est beaucoup plus ennuyeux que d'habitude.",A2,12,"['le ', 'de ', 'maths', 'lui', 'est ', 'plus', 'ennuyeux', ""que d'""]",8,0.6666666666666666
J'adore la cuisine ici,A2,5,"[""j'"", 'adore', 'la ', 'ici']",4,0.8
"En plus, c'est mon restaurant préféré, donc je vais me régaler",A2,12,"['en ', 'plus', ""c'"", 'est ', 'mon', 'restaurant', 'donc', 'je ', 'vais', 'me ']",10,0.8333333333333334
Et les enfants adorent cette fête parce qu'on ne mange rien d'autre que des crêpes.,A2,17,"['et ', 'les ', 'adorent', 'fête', ""qu'"", 'on ', 'ne ', 'rien', 'que', 'des ']",10,0.5882352941176471
Quand les rencontrer?,A2,3,['les '],1,0.3333333333333333
"Ce n'était pas très intéréssant, nous sommes partis au bout d'une heure.",A2,14,"['ce ', ""n'"", 'pas', 'nous', 'sommes', 'partis', 'au ', 'bout', 'une ']",9,0.6428571428571429
"Aujourd'hui, je suis très occupé",A2,6,"['aujourd', 'hui', 'je ', 'suis']",4,0.6666666666666666
"Avec son allure, il donne l'impression d'être le maître du monde.",A2,13,"['avec', 'son ', 'allure', 'il ', 'impression', 'le ', 'du ']",7,0.5384615384615384
La Fête du Travail en France est célébrée le premier mai comme c'est le cas dans de nombreux pays du monde.,A2,22,"['la ', 'fête', 'du ', 'en ', 'france ', 'est ', 'le ', 'mai ', 'comme', ""c'"", 'est ', 'le ', 'cas ', 'dans', 'de ', 'pays', 'du ']",17,0.7727272727272727
"L'année dernière, je suis allé au bord de la Loire pour les vacances.",A2,14,"['je ', 'suis', 'allé', 'au ', 'bord', 'de ', 'la ', 'pour', 'les ']",9,0.6428571428571429
Je dois aller au bureau trois fois par semaine parce que j'ai des réunions pour déjeuner avec des clients,A2,20,"['je ', 'dois', 'aller ', 'au ', 'bureau', 'fois', 'par', 'que', ""j'ai"", 'ai ', 'des ', 'pour', 'avec', 'des ', 'clients']",15,0.75
Je suis en train de repeindre ma chambre.,A2,8,"['je ', 'suis', 'en ', 'de ', 'ma ']",5,0.625
"C'est mon restaurant préféré, j'y suis allé deux fois cette semaine!",A2,13,"[""c'"", 'est ', 'mon', 'restaurant', ""j'y "", 'suis', 'allé', 'deux', 'fois']",9,0.6923076923076923
"Je m'appelle Camille et quand j'étais enfant, j'avais des rêves plein la tête.",A2,16,"['je ', ""m'"", 'camille', 'et ', ""j'"", ""j'"", 'avais ', 'des ', 'plein ', 'la ', 'tête']",11,0.6875
"Il reste au lit un quart d'heure dans le noir avant de se lever, pour faire durer la nuit.",A2,20,"['il ', 'reste ', 'au ', 'lit ', 'un', 'quart ', 'dans', 'le ', 'noir', 'de ', 'se ', 'pour', 'durer', 'la ', 'nuit']",15,0.75
"Quand tu sors de l'ascenseur, tourne à droite et encore à droite.",A2,13,"['tu ', 'sors', 'de ', 'ascenseur', 'tourne', 'droite', 'et ', 'encore', 'droite']",9,0.6923076923076923
Je m'entends à peine penser !,A2,6,"['je ', ""m'"", 'entends']",3,0.5
Un orphelin : un orphelin est un enfant qui a perdu un de ses deux parents ou ses deux parents.,A2,19,"['un', 'orphelin', 'un', 'orphelin', 'est ', 'un', 'qui', 'un', 'de ', 'ses ', 'deux', 'ses ', 'deux']",13,0.6842105263157895
"Je ne vais pas aller avec eux, puisqu'ils sont déjà partis !",A2,12,"['je ', 'ne ', 'vais', 'pas', 'aller ', 'avec', 'eux', ""puisqu'ils"", 'ils ', 'sont', 'déjà', 'partis']",12,1.0
"Au cours suivant, elle est venue s'asseoir à côté de moi.",A2,12,"['au ', 'elle', 'est ', ""s'"", 'asseoir', 'côté', 'de ', 'moi']",8,0.6666666666666666
Tu veux me montrer les lignes de code ?,A2,8,"['tu ', 'veux', 'me ', 'les ', 'de ', 'code']",6,0.75
Pouvez-vous m'indiquer la poste s'il vous plait ?,A2,10,"['vous', ""m'"", 'la ', 'poste', ""s'il"", 'il ', 'vous']",7,0.7
"Jeudi, on va au restaurant pour l'anniversaire de ma soeur.",A2,11,"['jeudi', 'on ', 'va ', 'au ', 'restaurant', 'pour', 'anniversaire', 'de ', 'ma ', 'soeur']",10,0.9090909090909091
Je vous soigne si vous avez mal aux dents.,A2,9,"['je ', 'vous', 'soigne', 'si ', 'vous', 'avez', 'mal ', 'aux', 'dents']",9,1.0
J'ai retrouvé le plaisir de manger un oeuf à la coque,A2,12,"[""j'ai"", 'ai ', 'le ', 'de ', 'un', 'oeuf', 'la ', 'coque']",8,0.6666666666666666
Il neigeait de plus en plus fort.,A2,7,"['il ', 'de ', 'plus', 'en ', 'plus', 'fort']",6,0.8571428571428571
"Le rap, c'est plus pour moi ""boom bap"", un peu ce qui se faisait avant",A2,16,"['le ', 'rap', ""c'"", 'est ', 'plus', 'pour', 'moi', 'boom', 'bap', 'un', 'peu ', 'ce ', 'qui', 'se ', 'faisait ']",15,0.9375
"A l'intérieur de ma maison, il y a un grand salon avec une table et quatre chaises pour accueillir mes amis.",A2,22,"[""a l'"", 'de ', 'ma ', 'il ', 'y a ', 'a un', 'un', 'grand', 'avec', 'une ', 'et ', 'chaises', 'pour', 'accueillir', 'mes ', 'amis']",16,0.7272727272727273
"Le jeudi est comme le mardi, on ne fait qu'aller à l'école",A2,15,"['le ', 'jeudi', 'est ', 'comme', 'le ', 'mardi', 'on ', 'ne ', 'fait', ""qu'"", 'aller ', ""l'é"", 'école', 'cole']",14,0.9333333333333333
"Il a fait un temps magnifique, je suis allé me promener près du parc, il y avait un petit café ouvert.",A2,21,"['il ', 'fait', 'un', 'temps', 'je ', 'suis', 'allé', 'me ', 'promener', 'du ', 'parc', 'il ', 'un', 'petit ', 'café']",15,0.7142857142857143
Un bruit qui se produit dans l'estomac quand on a faim.,A2,12,"['un', 'qui', 'se ', 'dans', 'on ', 'faim']",6,0.5
"Et vous l'utilisez, un peu, beaucoup ou rarement ?",A2,9,"['et ', 'vous', 'un', 'peu']",4,0.4444444444444444
Comment peut-on aimer l'école ?,A2,6,"['comment ', 'peut', 'on ']",3,0.5
A affronter ce monde et l'améliorer.,A2,7,"['affronter', 'ce ', 'et ']",3,0.42857142857142855
Tu veux du sucre dans ton café,A2,7,"['tu ', 'veux', 'du ', 'sucre ', 'dans', 'ton ', 'café']",7,1.0
J'ai vu son nom sur la boîte aux lettres.,A2,10,"[""j'ai"", 'ai ', 'son ', 'nom ', 'sur ', 'la ', 'aux']",7,0.7
La journée est longue pour lui,A2,7,"['la ', 'journe', 'est ', 'pour', 'lui']",5,0.7142857142857143
"""Non, non,"" dit le roi; ""restez-là, mon ami."" ""Mais, j'ai assez dormi !"" dit le berger.",A2,17,"['non', 'non', 'dit ', 'le ', 'roi', 'restez', 'mon', 'ami', 'mais', ""j'ai"", 'ai ', 'dormi', 'dit ', 'le ', 'berger']",15,0.8823529411764706
J'ai raccroché et j'ai ri.,A2,7,"[""j'ai"", 'ai ', 'et ', ""j'ai"", 'ai ', 'ri']",6,0.8571428571428571
Elle met son chapeau et elle va à l'épicerie de quartier.,A2,12,"['elle', 'met ', 'son ', 'et ', 'elle', 'va ', 'de ']",7,0.5833333333333334
Il est alors témoin d'un spectacle étonnant.,A2,8,"['il ', 'est ', 'alors ', ""d'un"", 'un']",5,0.625
"Les invités voulaient boire du champagne, mais il n'y en avait plus.",A2,13,"['les ', 'du ', 'champagne', 'mais', 'il ', ""n'y "", 'y en', 'en ', 'plus']",9,0.6923076923076923
Les deux premiers jours je ne comprenais rien du tout !,A2,10,"['les ', 'deux', 'jours', 'je ', 'ne ', 'rien', 'du ', 'tout']",8,0.8
Puis je vais passer à la poste pour envoyer un colis à ma grand-mère,A2,15,"['puis', 'je ', 'vais', 'la ', 'poste', 'pour', 'un', 'colis', 'ma ', 'grand', 'mère']",11,0.7333333333333333
Il a plu et j'ai attendu l'autobus.,A2,9,"['il ', 'plu', 'et ', ""j'ai"", 'ai ', 'autobus']",6,0.6666666666666666
"Une heure plus tard, il donne à la tribu une chèvre sauvage qu'il vient de tuer.",A2,17,"['une ', 'plus', 'tard', 'il ', 'la ', 'tribu', 'une ', ""qu'"", 'il ', 'de ', 'tuer']",11,0.6470588235294118
La blanquette est bonne.,A2,4,"['la ', 'blanquette', 'est ']",3,0.75
"Hier, j'ai lu un peu et j'ai dormi sur le divan en cuir.",A2,15,"['hier', ""j'ai"", 'ai ', 'lu ', 'un', 'peu ', 'et ', ""j'ai"", 'ai ', 'dormi', 'sur ', 'le ', 'divan', 'en ', 'cuir']",15,1.0
Ce n'est pas la première fois qu'une catastrophe écologique se produit dans la région,A2,16,"['ce ', ""n'"", 'est ', 'pas', 'la ', 'fois', ""qu'"", 'une ', 'catastrophe', 'se ', 'dans', 'la ']",12,0.75
"Ah oui, exactement comme moi !",A2,5,"['ah ', 'oui', 'comme', 'moi']",4,0.8
"Non, moi plus tard, je ferai des marionnettes comme mon papa.",A2,11,"['non', 'moi', 'plus', 'tard', 'je ', 'ferai ', 'des ', 'marionnettes', 'comme', 'mon', 'papa']",11,1.0
"Et ce soir, il peut prendre son temps car sa femme et ses enfants vont rentrer tard.",A2,17,"['et ', 'ce ', 'soir', 'il ', 'peut', 'son ', 'temps', 'car ', 'sa ', 'et ', 'ses ', 'vont', 'tard']",13,0.7647058823529411
"Quand on est ado, on se pose des tas de questions.",A2,11,"['on ', 'est ', 'ado', 'on ', 'se ', 'pose', 'des ', 'tas ', 'de ', 'questions']",10,0.9090909090909091
J'en connais qu'une seule : Valérie,A2,7,"[""j'en"", 'en ', ""qu'"", 'une ']",4,0.5714285714285714
Il ne peut pas voler et partir avec sa famille et ses amis vers les pays chauds.,A2,17,"['il ', 'ne ', 'peut', 'pas', 'voler', 'et ', 'partir', 'avec', 'sa ', 'et ', 'ses ', 'amis', 'vers', 'les ', 'pays', 'chauds']",16,0.9411764705882353
"Non, ne mange pas votre goûté dans la classe !",A2,9,"['non', 'ne ', 'pas', 'votre', 'dans', 'la ', 'classe']",7,0.7777777777777778
La mer est toujours calme au petit jour.,A2,8,"['la ', 'mer ', 'est ', 'calme ', 'au ', 'petit ', 'jour']",7,0.875
"La semaine, je me lève à six heures du matin et mon mari à huit heures.",A2,16,"['la ', 'je ', 'me ', 'lève', 'six', 'du ', 'et ', 'mon', 'mari', 'huit']",10,0.625
"Des ingrats : une personne ingrate est une personne qui n'a aucune reconnaissance, qui oublie les bonnes choses qu'une personne a faites pour elle.",A2,25,"['des ', 'ingrats', 'une ', 'ingrate', 'est ', 'une ', 'qui', ""n'a "", 'qui', 'les ', ""qu'"", 'une ', 'pour', 'elle']",14,0.56
Tanguy ne veut pas aller à la mer le mois prochain,A2,11,"['tanguy', 'ne ', 'veut', 'pas', 'aller ', 'la ', 'mer ', 'le ', 'mois']",9,0.8181818181818182
"Envoie le message à tes amis, d'accord ?",A2,8,"['le ', 'tes ', 'amis', 'accord']",4,0.5
"On le fête avec ses amis ou sa famille, et on souhaite ""bonne année",A2,14,"['on ', 'le ', 'fête', 'avec', 'ses ', 'amis', 'sa ', 'et ', 'on ']",9,0.6428571428571429
"Avec l'argent, notre professeur va acheter de la peinture et des crayons pour le cours de dessin.",A2,18,"['avec', 'va ', 'de ', 'la ', 'et ', 'des ', 'crayons', 'pour', 'le ', 'de ']",10,0.5555555555555556
"[Les dames rient] Je pense qu'il y aurait de la bagarre, hein",A2,13,"['les ', 'dames ', 'rient', 'je ', ""qu'"", 'il ', 'aurait', 'de ', 'la ', 'bagarre', 'hein']",11,0.8461538461538461
L'ensemble des jeunes ?,A2,4,['des '],1,0.25
J'aime beaucoup toute ma famille,A2,6,"[""j'"", 'ma ']",2,0.3333333333333333
J'ai posé le courrier sur la table.,A2,8,"[""j'ai"", 'ai ', 'posé', 'le ', 'sur ', 'la ']",6,0.75
"Vous êtes les citoyens de demain et nous devons vous donner de bonnes bases, non seulement pour vous préparer face au monde moderne mais aussi pour que vous fassiez changer ce monde.",A2,32,"['vous', 'les ', 'de ', 'et ', 'nous', 'devons', 'vous', 'de ', 'non ', 'pour', 'vous', 'face', 'au ', 'mais', 'aussi ', 'pour', 'que', 'vous', 'fassiez', 'ce ']",20,0.625
"Si tu portes un nom arabe, tu as plus de mal à trouver du travail que si tu t'appelles François ou Sylvie.",A2,23,"['si ', 'tu ', 'un', 'nom ', 'arabe', 'tu ', 'as ', 'plus', 'de ', 'mal ', 'du ', 'que', 'si ', 'tu ', ""t'"", 'appelles', 'sylvie']",17,0.7391304347826086
