sentence;difficulty
Peut-on évoquer des sujets sérieux avec un accent du Sud de la France ?;B1
Les recrutements s'effectuent essentiellement à partir de critères liés à la voix, au bon contact et à l'expression orale de la personne.;B1
Personne n'était intéressé par les discours du député;B1
Elle a un physique ingrat.;B1
Quand il fera le ménage de l'appartement, il jettera les vieux papiers, il nettoiera le linge et il ouvrira les fenêtres.;B1
Mes peines : une peine est un chagrin, une douleur, un malheur.;B1
Plus personne ne sautait sur le canapé depuis longtemps.;B1
En hiver, elle ne sort jamais sans son parapluie et son écharpe;B1
Je vais choisir un restaurant pour savourer un bon repas après cette journée bien remplie;B1
Vous avez beaucoup pleuré suite à votre rupture qui vous a brisé le coeurs en milles morceaux.;B1
Les spécialistes de la violence chez les adolescents rappellent qu'il est dangereux de les considérer comme une armée menaçante.;B1
Venez profitez du studio d'enregistrement et de la salle de répétitions !;B1
Mais cette révolution ne se manifeste pas seulement dans notre vie quotidienne.;B1
Il devait à tout prix téléphoner à son bourreau quand il recevait des nouvelles de son banquier.;B1
"Ce phénomène, poursuit la sociologue, résulte à la fois de la crise de l'emploi, qui encourage chacun à être plus mobile, et d'un bouleversement des valeurs qui cimentent la société : ""Jusqu'aux années 1970, le projet de vie des individus était surtout construit à partir des catégories de la famille heureuse, de l'accession à la propriété familiale"".";B1
Les articulations sont en haut la hanche, au milieu le genou en en bas la cheville;B1
On peut faire une classe inversée en restant dans le transmissif.;B1
"Les dernières études d'imagerie cérébrale confirment qu'il y aurait bien une différence, non de capacité, mais de ""fonctionnement"" du cerveau des hommes et des femmes, en fonction de leurs centres d'intérêt.";B1
Oui, l'ouragan a touché terre la nuit dernière dans le nord du Nicaragua, il s'est ensuite étendu à plusieurs pays d'Amérique centrale;B1
Je t'appelerais dès que je reçois les documents;B1
Le Danemark est le premier pays du monde à autoriser l'accès à internet lors des examens qui peuvent parfois même compter pour la baccalauréat;B1
Et puis, on revient en Europe maintenant avec la vague de chaleur qui touche le continent et qui n'épargne aucune partie de cette partie du monde même celle située la plus au nord en Scandinavie y compris, le thermomètre grimpe en flèche;B1
Il trouve bizarre que l'artiste ait quitté le concert avant la fin samedi soir dernier.;B1
Les journalistes ont voulu savoir s'ils pouvaient le rencontrer.;B1
Du haut de cette colline la vue sur Marseille est remarquable;B1
Le visage comprend une oreille de chaque côté, deux yeux surmontés par les sourcils et un nez au centre;B1
Le numéro un mondial a facilement remporté la finale, en seulement trois manches et à peine deux heures de jeu.;B1
Plus on prend du plaisir, plus on progresse rapidement et durablement.;B1
À la radio, le journaliste a conservé les intonations de son Pays basque natal dans le Sud de la France.;B1
Il a mis un cadre rouge autour du tableau.;B1
Dans cette profession, le renouvellement de personnel est important.;B1
La forêt leur donne du bois et du gibier.;B1
L'hospitalité est l'action de recevoir une personne chez soi, de l'accueillir de manière bienveillante, de le loger gratuitement.;B1
À partir de deux reportages sur les vacances des Français, invitez les apprenants à parler de leurs vacances.;B1
un berger est une personne chargée de guider et de prendre soin des troupeaux de moutons ou plus généralement de bétail.;B1
Il se sent plus à l'aise avec une tenue vestimentaire classique;B1
Candide s'enfuit au plus vite dans un autre village : il appartenait à des Bulgares, et des héros abares l'avaient traité de même.;B1
Il a une longue expérience dans un grand nombre de restaurants, mais moins en restauration collective.;B1
Le courant d'air ainsi créé permet à la sueur - qui absorbe la chaleur du corps - de s'évaporer et ainsi de le refroidir.;B1
En Chine, la Fête des mères a lieu le 2e dimanche de mai.;B1
Une petite révolution et des chiffres qui parlent tout seuls.;B1
C'est le cas également de nombreuses ONG qui, dans des dizaines de pays, viennent en aide aux enfants-soldats, assurant leur protection et leur garantissant, quand c'est possible, un suivi médical et une scolarisation.;B1
Quand l'ange apparaît la première fois, que conseille-t-il à Azaël ?;B1
Le réalisateur m'a expliqué qu'il avait longtemps cherché l'acteur idéal.;B1
S'impliqueront-ils dans la vie sociale du collège?;B1
C'est ce qu'a appris Hervé Brassier qui pourrait parler pendant des heures de son chien guide, Indigo.;B1
Ils faisaient une grande fête à chaque année.;B1
"La méchante femme n'y retournera sûrement pas."" Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.";B1
Et cette année, ça défile !;B1
Pour aller au travail, Marc porte une veste, un pantalon, une chemise et une belle cravate rouge;B1
Il était furieux contre le berger, qui avait révélé le secret de la grotte aux serpents.;B1
Nous avons de nouveaux amis et nous avons rencontré nos voisins lors d'une soirée festive la semaine dernière;B1
Et en août, nous passerons peut-être quelques jours dans les montagnes.;B1
On peut voir aussi le fleuve qui traverse la capitale : la Seine.;B1
Après le cours, vous boirez un verre en notre compagnie, vous rirez aux éclats et aurez du bon temps avec vos amis.;B1
"""J'ai vraiment dû beaucoup insister pour être choisi ! rapporte Monsieur.";B1
De la même façon, le gouvernement de la République du Congo (RDC) s'est engagé, en mai 2002, à démobiliser des milliers d'enfants servant dans son armée.;B1
Pour lui, parler sa langue maternelle avec ses filles, c'est surtout transmettre quelque chose de la culture danoise.;B1
Une partie de l'énergie fournie pour se déplacer est transformée en chaleur.;B1
Ta soeur est venue hier nous rendre visite.;B1
Ils habitent en face d'une serveuse, Penny, dont le rêve est de devenir actrice.;B1
Vous allez piloter ce fichu avion et m'amener en Amérique du Sud.;B1
Et aussi grâce à la télévision parce qu'on regardait tous les soirs deux ou trois épisodes de mes séries préférées.;B1
Elle commémore la résurrection de Jésus mais fête aussi le printemps;B1
Les horaires de travail sont parfois décalés en fonction de la nature et de la disponibilité des publics contactés (le soir par exemple).;B1
Le télévendeur travaille à temps plein, à temps partiel ou en complément d'une autre activité.;B1
On n'est pas très fiers parce que de temps en temps, quand elles se bagarrent, on[ne] veut pas dire que Patricia se bagarre avec Agnès ou avec Valérie ou Michèle ou Aude ! [Elle rit];B1
Par exemple, lorsque le chien signale quelque chose, le maître doit comprendre le sens.;B1
J'ai souscris un abonement hebdomadaire à un magazine de cuisine.;B1
Je compte bien arriver dès huit heures.;B1
Quand j'ai lu, j'ai découvert de nouvelles choses surprenantes sur les locataires qui occupaient l'appartement.;B1
Plus grave, un lien a été mis en évidence entre ces usages et des symptômes de dépression.;B1
Quand j'ai attteint mes 1 ans et demi, j'ai appris à marcher de manière autonome et assurée.;B1
"""La batterie est en dessous du niveau nécessaire pour faire fonctionner l'ordinateur central"", a dit M. Ulamec.";B1
A t'il parlé d'astuces pratiques pour un bien-être quotidien et d'un questionnement philosophique sur cette quête de l'impossible;B1
En entendant la porte d'entrée s'ouvrir, elle leva les yeux de l'ordinateur et aperçut son mari.;B1
M. Aphatie a été le premier à animer une émission dite sérieuse à la radio puis à la télévision.;B1
Le Président a promis qu'il tiendrait toutes ses promesses.;B1
Elle pouvait supporter tout cela.;B1
La cuisine est classique et à base de produits régionaux.;B1
Du haut de la Tour Eiffel, on peut voir les principaux monuments de Paris;B1
Le canal a été construit il y a seulement quatre-vingts six ans.;B1
Si mes dents contunent à me faire souffrir ainsi, j'irai chez le dentiste.;B1
Le centre Victor Hugo, situé à 20 minutes en bus de la mairie, dans le quartier des universités, est un lieu pour tous, petits et grands, jeunes et moins jeunes.;B1
"""Mon fils, allergique à la pollution, a fait une crise d'asthme terrible"" , se souvient-elle.";B1
Ils préfèrent alors rester à la maison et profitent du temps libre pour visiter leurs familles ou se balader en ville;B1
Cette ville a une atmosphère particulière dont je me souviendrai toujours.;B1
Par exemple, on craint que les autres aient des expériences enrichissantes sans nous.;B1
Et si boire chaud donne chaud, c'est un mal pour un bien car la température élevée du liquide augmente la température interne du corps et stimule ainsi la transpiration.;B1
Fini les boutiques d'autrefois, adieu les voisins qu'on connaît bien.;B1
Il l'a suivie, emporté par les flots.;B1
C'est une manière de découvrir un endroit en évitant les lieux touristiques et en respectant le milieu naturel.;B1
L'ambiance était détestable dans l'entreprise: j'ai fini par démissionner.;B1
Quand le téléphone retentissait, on s'empressait de répondre immédiatement.;B1
En plus de toutes ces activités, le Salon du Chocolat est également l'endroit rêvé pour découvrir et acheter les chocolats de nombreux artisans chocolatiers du monde entier, réunis en un seul lieu à Paris;B1
Le tableau paraissait plus beau qu'avant.;B1
Il s'agit d'un processus volontaire et tourné vers l'avenir, qui permet aux deux parties de trouver une issue, leur issue.;B1
Avant de corser les choses.;B1
Le quotidien Dallas Morning News a même sorti qu'il s'agissait de la pancarte la plus étrange qu'ils avaient jamais vue.;B1
"""Le démon partit bien vite, et il se précipita dans le trou, où, hélas, il retrouva la méchante femme.";B1
Par ailleurs, Yolande, qui habite à Paris, nous explique que son quotidien est devenu très difficile en raison des locations saisonnières : Les arrivées et départs à n'importe quelle heure de la journée, les fêtes toute la nuit, les groupes de touristes qui envahissent le hall de l'immeuble avec leurs valises.;B1
Avec leur directrice, Patricia Rodriguez, les élèves de la grande section de maternelle ne se lassent pas de ce spectacle;B1
Il s'arrêta tristement à la porte d'un cabaret.;B1
Curieusement, l'actuel président du groupe Radio-France ne se souvient pas du débat après l'arrivée de M. Aphatie : Son arrivée n'a pas été critiquée, car il était évident que Jean-Michel Aphatie avait beaucoup de présence à la radio.;B1
Souvent plus productif que les autres , il crée un effet fédérateur dans une équipe de travail où les petits problèmes courants sont relativisés .;B1
Cette douceur contraste avec les températures sibériennes d'il y a une semaine.;B1
La climatisation a longtemps été superflue dans les maisons de retraite mais cet été, on ne pourra pas non plus utiliser de ventilateurs car ils contribuent à diffuser le Coronavirus;B1
Si cette actrice avait accepté le rôle, elle aurait été formidable.;B1
Mais pour les visiteurs et les professionnels, c'est également l'occasion de découvrir les dernières innovations, et surtout de goûter les créations des chefs pâtissiers et chocolatiers;B1
"À mon premier mot : ""Tu vas rejoindre Napoléon !";B1
"""Malheureusement, on voit souvent la capacité à parler anglais comme une force, mais pas forcément d'autres langues, regrette Madame.";B1
Combien de temps duraient les missions des hommes envoyés dans la forêt ?;B1
Des mesures vont être prises par le ministre de la santé oublique;B1
Si la plupart des habitants saluent cette loi comme un pas en avant pour la protection de l'environnement, certains commerçants s'inquiètent, comme dans ce magasin de bricolage où certains produits sont trop larges ou trop lourds pour des sacs en papier;B1
La Semaine s'est ouverte lundi sur le parvis du Trocadéro à Paris, par un événement symbolique, en présence des adjointes pour les personnes handicapées au maire de Paris.;B1
une requête est une demande, une sollicitation, une prière.;B1
"Il apprend ensuite tout ce qui concerne ""la recherche"", c'est-à-dire savoir trouver et identifier les passages piétons, les pistes cyclables et les rues, s'arrêter devant les portes ou les escaliers, savoir éviter les difficultés, monter dans les transports, etc.";B1
Il est maintenant un symbole de fête, autour duquel les gens se réunissent pour célébrer Noël !;B1
"Ces chocolats, coulés en forme d'oeufs, de lapins et de poules, sont souvent dispersés dans le jardin pour être retrouvés par les plus jeunes : c'est la ""chasse aux oeufs"".";B1
Ce texte invite les États à prendre toutes les mesures possibles dans la pratique pour veiller à ce que les membres de leurs forces armées qui n'ont pas atteint l'âge de 18 ans ne participent pas directement aux hostilités (Art.;B1
Dans le domaine de la publicité, il peut vendre des espaces publicitaires.;B1
Il peut survenir à toute heure, mais de préférence quand un petit rayon de soleil réchauffe votre ordinateur.;B1
Quand il doit rencontrer un client important, Marc n'hésite pas à s'habiller sobrement;B1
Certains, comme les Bédouins, sont des Blancs à la peau mate et tannée par le soleil.;B1
Soudain, il entendit une voix qui lui disait de s'approcher.;B1
Mais ses batteries solaires qui devaient prendre le relais n'ont pas reçu assez de lumière pour lui permettre de rester actif.;B1
"""Nous devons nous préparer à de nouvelles mutations du coronavirus et ne plus dépendre uniquement de l'UE pour la production de vaccins de deuxième génération"", a-t-il ajouté.";B1
Hélas: c'est une interjection qui exprime la plainte, la souffrance, le regret.;B1
Les habitants du monde entier sont invités à une assemblée extraordinaire à Nossiop pour réfléchir aux applications de cette nouvelle technologie et à ses conséquences pour l'humanité.;B1
J'ai eu une réunion hier où nous avons pris plusieurs décisions avec notre partenaire brésilien;B1
Tu retireras ton chapeau en feutre et tes gants en cuire et tu t'assiéras en silence.;B1
Lors de cette fête nationale, les Thaïlandais offrent à leur maman un bouquet de jasmin, dont la blancheur rappelle la pureté de l'amour d'une mère pour son enfant.;B1
A cette occasion, les enfants offrent des cadeaux à leur mère mais aussi de jolis oeillets.;B1
Chez les Musulmans, par exemple, elle est obligatoire avant la prière.;B1
"Elle évoque un autre point : ""Encore aujourd'hui, certains pensent qu'un enfant élevé dans deux langues différentes réussit moins bien à l'école.";B1
Il a été rétrogradé en catégorie 1 alors qu'il se trouvait en catégorie 5 - rétrogradé ça veut dire qu'il est passé de cette catégorie 5 à la catégorie 1;B1
Ce week-end, nous signerons le contrat sauf s'il y a un contretemps.;B1
La plupart des spectateurs ont apprécié la pièce de théâtre.;B1
Le handicap, lorsqu'il est visible, est encore trop souvent associé à l'incompétence.;B1
Il coinça le téléphone entre l'oreille et l'épaule tout en attrapant son jeans.;B1
L'intervalle entre les deux séances est trop long.;B1
Enfin, il faut savoir que l'éducation complète d'un chien guide coûte très cher et qu'en France, les dix écoles sont entièrement financées par des dons.;B1
Après l'éruption de 1754, la plus grosse connue par le volcan qui avait tué plus d'un millier de personnes, la municipalité de San Nicolas avait à l'époque déménagé sept kilomètres plus loin pour s'éloigner du volcan;B1
Ma voiture est très écologique, elle roule à l'énergie solaire;B1
Car depuis ce dimanche, l'utilisation des sacs en plastique fins est interdite dans tout l'État de New York sous peine d'une amende de 250 dollars;B1
Mais un certain écart demeure avec les hommes, notamment chez les plus jeunes.;B1
Le débat porte plutôt sur l'utilité d'une telle mesure.;B1
Nous avons reçu plusieurs plaintes à ce sujet.;B1
Il se compose du thorax et de l'abdomen encore appelé ventre;B1
Il accepte les différences, il est tolérant.;B1
La sixième Semaine pour l'emploi en leur faveur entend les combattre.;B1
Ce rendez-vous des gourmands et des passionnés de chocolat a lieu tous les ans entre fin octobre et début novembre à Paris;B1
La Loire à vélo, c'est près de 900 kilomètres de pistes aménagées le long du fleuve.;B1
Il n'a fallu que 12 ans, entre 1999 et 2011, pour que la population mondiale passe de 6 à 7 milliards d'habitants;B1
Elle entend le clapotis de vagues, le cri des enfants qui jouent, la sirène d'un bateau rentrant au port.;B1
Oui, des feux de forêt qui frappent le sud-est du pays depuis le mois de septembre et qui ont fait une 24e victime ce week-end;B1
Avec de l'expérience, le télévendeur peut devenir animateur d'un pôle de télévendeurs, superviseur d'équipe, chef de plateau.;B1
Les serveurs sont mal organisés, c'est dommage.;B1
En prenant des cours, tu apprendrais plus vite.;B1
Mes voisins voulaient quitter le pays en cachette, une fois la nuit tombée.;B1
A cause de la crise, l'entreprise doit licencier une centaine de salariés.;B1
En chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.;B1
"Quand ils se verront, elle pleurera et elle s'évanouira ; l'émotion sera trop grande.";B1
Cela faisait trois semaines que le navire était immobilisé accidentellement sur un récif, un rocher dans la mer, près de l'île.;B1
Et grâce à ces nouvelles résolutions encourageantes, je dors bien mieux maintenant !;B1
Cet été, ils ont été particulièrement vigilants au choix de leur logement pour qu'il soit le plus adapté au contexte sanitaire.;B1
Le but: Interdire aux jeunes de certains quartiers de sortir entre minuit (parfois 22 heures) et 6 heures du matin s'ils ne sont pas accompagnés d'un adulte.;B1
Quand je finirai ce travail, je partirai en Floride. Je fuirai l'hiver et les grands froids.;B1
L'entrée du journaliste basque dans le monde audiovisuel n'avait donc rien d'évident.;B1
Les enfants et les ados de certains quartiers sont sous haute surveillance.;B1
Le point de vue du penseur amène un autre type de réflexion, plus intellectuelle.;B1
Le pauvre berger obéit , et tout à coup il se trouva assis sur le dos du dragon, qui volait rapidement par-dessus les montagnes et les mers.;B1
L'après-midi je me promène aux Tuileries, paradis de verdure au coeur de la capitale;B1
Un hôte désigne soit la personne qui reçoit un invité soit l'invité qui est reçu, accueilli.;B1
Chaque été, nous nous rendons au chalet de mes grands-parents.;B1
Des parents qui n'arrivent pas à exercer pleinement leur autorité.;B1
L'élastique s'est distendu.;B1
Tu remplissais le pot d'eau et tu mettais des glaçons à congeler dans le congélateur du sous-sol.;B1
Il faudrait inventer un temps particulier pour l'apprentissage.;B1
Un ange de l'hospitalité, envoyé par le prophète vient sauver le pacha.;B1
Le berger pensa à sa femme, et descendit la montagne aussi vite que possible, car il avait peur d' être grondé parce qu'il était resté si longtemps absent.;B1
Oui, un acte courageux, surtout quand celle-ci va à l'encontre de la frénésie ambiante, de la course aux infos;B1
Parce que jamais je céderai devant la barbarie.;B1
C'est un fait inquiétant qu'on constate dans toutes les capitales européennes : les touristes séjournent de plus en plus dans des appartements loués sur des sites internet.;B1
Toujours aucune trace du braqueur de la banque.;B1
J'accepterais ce poste à condition qu'il soit basé à Zurich.;B1
Ils ont déménagé car sa femme a été mutée à Paris.;B1
Je m'occuperai des enfants ce week-end-là, j'ai déjà posé mes congés.;B1
Un chien comme Djengo est éduqué (ou dressé) pour accompagner une personne aveugle ou qui voit mal et pour l'aider dans ses déplacements quotidiens.;B1
C'est en représentant mon journal, Le Parisien, à l'émission Res Publica, à la radio, que j'ai rencontré Jean-Luc Hess, qui dirigeait alors la station.;B1
C'est cette première canicule qui avait notamment décidé Greta Thunberg à s'asseoir avec sa pancarte devant le parlement de Stockholm, c'était le début de la grande mobilisation des jeunes pour le climat;B1
De toute façon, chacun sait que, pour choisir son logement idéal, cela peut prendre plusieurs mois.;B1
Je vous souhaite bonne année pleine de bonheur et de joie Bbonne continuation Merci Bachy pour ton message !;B1
Ainsi, il existe déjà une méthode pour passer du virtuel au réel.;B1
On va effectuer de petites pressions sur votre dos, avec les pouces.;B1
Vous reviendrez nous voir quand vous obtiendrez votre diplôme.;B1
Il a su se défendre et mentir lorsqu'on lui posait des questions embarassantes.;B1
Se précipiter avec violence dans un passage.;B1
Demain, nous nous lèverons tôt et nous nous promènerons dans la les bois situés aux alentours du manoir.;B1
Il avait pris sa belle valise verte qu'il trimballe depuis vingt ans, pour passer cinq jours de vacances près de Vannes chez sa vieille amie Sylvaine qu'il voyait beaucoup avant de vivre à Valencienne;B1
Cette fête est encore traditionnellement fêtée en France, même si, comme pour Noël, elle a souvent perdu son aspect religieux;B1
En Amérique du Nord, LeeAnn Walters, une femme au foyer, a été distinguée pour avoir créé un mouvement citoyen qui a permis de révéler la crise de l'eau contaminée de Flint dans le Michigan;B1
Les exportations de cacao ont doublé par rapport à l'année dernière.;B1
La vapeur se contournait en spirales autour des groupes de palmiers, entre lesquels apparaissaient de pittoresques bungalows.;B2
Quand vous disposez de tous vos fichiers numérisés, vous pouvez effectuer la formalité en ligne en remplissant le formulaire interactif que vous validerez en fin de saisie.;B2
Noël approche, les enfants attendent ce moment avec impatience;B2
Lucie a postulé pour travailler comme monitrice dans un camp de vacances international cet été;B2
"""Nous allons essayer à nouveau (ndlr: d'entrer en contact avec lui). Mais les chances de rétablir la liaison sont très très faibles"", a déclaré à l'AFP Stephan Ulamec, responsable de l'atterrisseur, depuis l'Agence spatiale européenne (ESA) à Darmstadt (Allemagne).";B2
En 2007, moins de 8% des déchets des entreprises ont fait l'objet d'une collecte sélective.;B2
Le 24 décembre est le jour du réveillon;B2
Dernièrement, le ministre de l'éducation nationale a souhaité durcir l'interdiction des téléphones portables au collège qui existe déjà, mais qui, en pratique, n'est pas suffisamment appliquée parce qu'aucune sanction n'est prévue.;B2
L'inégalité des sexes freine l'accès aux études scientifiques.;B2
Surtout avec les nouvelles technologies.;B2
Les médias, les entreprises, les municipalités, les écologistes invitent de plus en plus les citoyens à utiliser leurs vélos pour circuler dans les grandes villes.;B2
n chemin, il a pu admirer la magnifique fontaine Bartholdi sur la grande Place des Terreaux.;B2
Les passants semblent moins pressés, et s'attardent plus facilement devant une devanture ou dansles rayons.;B2
Créatrice d'emplois, la filière permet aussi de rééquilibrer une balance commerciale souvent désavantageuse, tout en diversifiant les activités locales.;B2
Ces derniers sont souvent générés ou amplifiés par une société toujours plus individualiste et ambivalente.;B2
Mais pas en proposant des portions microscopiques présentées de manière pompeuse.;B2
En analysant les données recueillies lors des épreuves d'évaluation dans le primaire et le secondaire, on constate qu'il n'y a aujourd'hui pas de différences de performances entre filles et garçons.;B2
"""Les forces de l'ordre ont tiré des gaz lacrymogènes, des munitions en caoutchouc et des balles réelles"", selon un secouriste.";B2
Au programme, organisez un blind test et un karaoké en classe avec les artistes francophones des années 1960 et d'aujourd'hui.;B2
Fini les pâtes à l'italienne, les gros haricots blancs, les pommes de terre en robe des champs avec du beurre et du bon pain frais.;B2
"Une fois déchiquetées et séchées, elles sont alors agglomérées en petits cylindres appelés ""palettes"".";B2
Un lundi, Franck et Guillaume, qui travaillaient tous les dimanches comme extras dans un autre restaurant sur l'avenue, se sont rendus au chevet de leur grand-mère;B2
Face à eux, les forces de sécurité ont été déployées en nombre.;B2
J'accepte cette mission à condition que vous me laissiez carte blanche.;B2
Les incidents sont disposés et gradués vers le point culminant et l'effet de la fin, qui est un événement capital et décisif, satisfaisant toutes les curiosités éveillées au début, mettant une barrière à l'intérêt, et terminant si complètement l'histoire.;B2
Les broches également, très pratiques aussi, en les accumulant, et les petits boléros par-dessus;B2
Les masses liquides transportent les plus grandes espèces connues de mammifères, et peut-être recèlent-elles des mollusques d'une incomparable taille, des crustacés effrayants à contempler, tels que seraient des homards de cent mètres ou des crabes pesant deux cents tonnes !;B2
Une après-midi du mois de juin, Fabrice entendit une forte canonnade assez éloignée.;B2
Mes voisins auraient recueilli un beau petit chat abandonné.;B2
Les reliures de tons différents, rouges, jaunes, vertes, violettes, et bleues, mettaient de la couleur et de la gaieté dans cet alignement monotone de volumes.;B2
Temps de course : soixante-quatorze jours, trois heures, trente-cinq minutes, quarante-six secondes;B2
Ces nouvelles tensions interviennent après une journée de répression meurtrière dimanche avec au moins 18 manifestants tué.;B2
Pour notre entreprise, externaliser, c'est se concentrer sur nos activités principales, recherche et commercialisation, que nous maîtrisons parfaitement et faire réaliser par des intervenants extérieurs les activités de production et les essais cliniques.;B2
La communauté scientifique apprécie peu la présence de femmes.;B2
De plus, les agences nationales réglementaires de notre pays exigent de nous davantage de qualité, de sécurité et de fiabilité.;B2
Nous entamions un nouveau programme de notre cursus.;B2
Il rampait à plat ventre, galopait à quatre pattes, prenait son panier aux dents, se tordait, glissait, ondulait, serpentait d'un mort à l'autre, et vidait la giberne ou a cartouchière comme un singe ouvre une voix.;B2
Les appareils pouvant être recyclés à 85% de leur poids environ, l'enjeu est important.;B2
Les républicains se disaient outrés par d'anciens commentaires les visant nommément, tandis que des progressistes proches de Bernie Sanders la jugeaient trop centriste.;B2
Emus, les journalistes ont suggéré l'idée de célébrer les mères en Egypte, puis la fête s'est propagée vers d'autres pays arabes.;B2
Tourné en 3D par le réalisateur LWitley, ce nouvel épisode intergalactique, foisonnant, donne vite la migraine;B2
La standardisation prochaine de la littérature numérique va probablement consacrer le grand retour du livre objet, mieux imprimé - et pourquoi pas enluminé? - au détriment du livre de poche qui, à moyen terme, semble déjà condamné.;B2
Ne cherchons donc point d'assurance et de fermeté.;B2
Pour les couples déjà installés, et notamment ceux avec enfants, le problème du partage des tâches domestiques est accentué par une proximité ininterrompue.;B2
Les éternels affrontements entre ceux qui militent pour la protection inconditionnelle de sanctuaires naturels et ceux qui défendent les intérêts économiques des compagnies forestières semblent même passés de mode.;B2
En attendant, de petites formations d'initiation à l'algorithmique et au langage informatique ont été réalisées pour les professeurs des écoles et des collèges, les inspecteurs et les formateurs d'IUFM (Institut Universitaire de Formation des Maîtres).;B2
Leur pavillon mitoyen à Paris était pratiquement neuf quand ils l'avaient acheté.;B2
Selon l'auteur, les tests actuels encouragent les élèves à développer une pensée personnelle.;B2
Avec, en premier lieu, leur opposition à une réforme du Sénat qui permettrait d'adopter toutes les lois sans passer par un premier vote requérant 60 voix.;B2
Voilà qui serait en effet de nature à simplifier sensiblement débats et controverses.;B2
Eux, par contre, ont dû régler leur réveil;B2
En deuxième position, les Français font figurer les bonnes manières, puis le sens des responsabilités.;B2
Dès lors, comment sortir de l'impasse ?;B2
Le vaccin AstraZeneca est-il en voie de réhabilitation accélérée ?;B2
Les ressources disponibles en ligne peuvent faciliter l'apprentissage des lycéens.;B2
De plus, les élèves ont des téléphones portables au collège car ils sont équipés par leurs parents qui veulent pouvoir joindre leur enfant après la classe, parce que ça les rassure.;B2
On ne trouve aucune différence en ce qui concerne la compréhension de concepts abstraits ou dans la résolution de problèmes complexes.;B2
En Allemagne, l'université de Potsdam donne aux réfugiés qui ont été enseignants dans leur pays d'origine, la possibilité de devenir assistants puis professeurs dans les écoles allemandes qui manquent d'enseignants.;B2
Elle a juste miaulé craintivement et s'est recroquevillée sur sa branche oú elle se trouve.;B2
Des crèches vivantes y sont organisées et la paroisse se prépare pour la messe de minuit;B2
Les oncles, les grands-parents, les cousins, cette année toute la famille se rassemble afin de fêter Noël comme il se doit;B2
Nous devons apprendre une multitude de langages : scientifiques tels le numérique, les langues étrangères, les langages des sons et des images, le langage du corps.;B2
Cette femme mourut seule et misérable.;B2
Sa vitesse est limitée à 25 km/h et son utilisation est interdite sur les trottoirs.;B2
La formation s'achèvera par un contrôle pour savoir si le propriétaire a intégré les connaissances.;B2
Et on les enferma dans une petite boîte en bois, découverte, tapissée de rouge, et qui contenait quatre chaises de même couleur, si rapprochées qu'on pouvait à peine se glisser entre elles.;B2
L'individualisme a souvent mauvaise presse dans les discours contemporains.;B2
L'homme que vous voyez exploita durant plusieurs décennies, un site archéologique aux troubailles impressionnantes.;B2
Un journaliste de Art Press a interviewé Agathe sur la performance dans laquelle elle a participé.;B2
Hier, en raison de violents orages, des villageois ont été privés d'électricité.;B2
"Les fans des costumes de Carrie Bradshaw dans ""Sex and the City"" se régaleront devant les tenues d'Emily, de la même créatrice, Patricia Field (même si on lève les yeux au ciel quand Emily se met à porter des bérets).";B2
Le nouveau père est un père moderne , qui change des couches, raconte des histoires, concocte des purées carotte - avocat - céleri.;B2
Marie-Sophie Germain est à l'origine d'une théorie scientifique reconnue.;B2
Nous passons notre temps à établir, désétablir.;B2
La spirale vicieuse, cette mécanique qui entraîne vers le bas, n'est pas, dans le discours des milieux populaires, liée à une conjoncture négative.;B2
Leur préservation est une affaire urgente.;B2
Ce sont les propos que Benoît Hamon a tenus au JDD mi-juillet.;B2
La gestion de la complexité sera bien le défi majeur du XXIe siècle.;B2
Des coutumes similaires ont existé autrefois notamment dans le Finistère : les enfants s'amusaient à creuser des betteraves au moment de la Toussaint pour faire peur aux gens du voisinage;B2
Par exemple, une connexion permanente offre aux personnes s'ennuyant dans la vie, stimulations et divertissements, mais uniquement à très court terme.;B2
Anna franchit le seuil et se débarrassa de ses chaussures.;B2
"Les soeurs de Fabrice entrèrent chez leur mère tandis que comtesse cousait ces diamants dans l'habit de voyage de notre héros ; il rendait à ces pauvres femmes leurs chétifs napoléons.";B2
Son succès a généré beaucoup de réactions négatives.;B2
Ils fonderaient ainsi une race de mortels qui feraient renaître sur la terre la grâce des dieux exilés.;B2
Pour ces États qui croulent sous le poids d'une dette extérieure souvent insoutenable, les revenus sylvicoles en devises constituent une part importante de leur budget et de leur produit intérieur brut.;B2
"Elle rencontra Candide en revenant au château, et rougit ; Candide rougit aussi ; elle lui dit bonjour d'une voix entrecoupée, et Candide lui parla sans savoir ce qu'il disait.";B2
Lorsque j'aurai terminé mes études, je prendrai une année sabbatique.;B2
Mangez avec appétit, car ce soir, nous dînerons en enfer !;B2
"Le réseau social annonce ce mardi la constitution d'un ""comité consultatif européen de sécurité"", composé de neuf membres de la société civile.";B2
Les usines sont situées à Mattighofen au nord de Salzbourg.;B2
Pendant sa courte période d'activité, le robot a travaillé d'arrache-pied.;B2
Même si la Révolution française était déjà en cours, la prise symbolique de la Juillet forteresse, qui ne comptait que 7 prisonniers à l'époque, reste l'événement clé de la révolte;B2
Figurez-vous un Turc allant la nuit chez Paul Niquet!;B2
Ils se laissèrent glisser par terre et partirent en trombe vers le salon.;B2
